ID,Valence,Arousal,Freq,CNC,IMG,Word
468,6.83,4.76,91,542,570,DINNER
469,5.87,6.32,1,542,570,DINOSAUR
470,6.69,5.51,1,479,456,DIPLOMA
471,5.29,5.54,101,336,399,DIRECTOR
472,3.99,4.89,43,564,547,DIRT
473,5.36,4.58,6,553,575,DISC
474,5.61,4.29,16,278,386,DISH
475,5.52,4.69,1,255,362,DISHWASHER
476,5.61,5.5,1,494,586,DIVER
477,5.61,4.12,8,570,559,DOCK
478,5.38,6.15,100,575,600,DOCTOR
479,5.18,4.68,13,575,600,DOCUMENT
480,7.07,4.97,75,610,636,DOG
481,5.71,4.01,11,588,565,DOLL
482,6.63,6.02,46,575,611,DOLLAR
483,6.75,4.34,1,575,611,DOLPHIN
484,5.29,4.94,1,271,346,DONKEY
485,6.29,5.09,5,409,406,DONOR
486,5.43,4.56,312,606,599,DOOR
487,5.12,5.47,2,606,599,DOORBELL
488,5.12,5.03,1,578,548,DORM
489,6.03,4.15,13,627,558,DOUGH
490,6.86,5.05,13,606,599,DOUGHNUT
491,6.62,3.07,4,588,616,DOVE
492,5.39,6.96,1,281,340,DRAGON
493,5.3,4.31,8,442,435,DRAWER
494,6.21,4.36,40,442,435,DRAWING
495,6.09,4.66,67,595,595,DRESS
496,5.48,4.26,1,560,556,DRESSER
497,4.74,6,33,516,571,DRILL
498,6.5,4.73,82,549,553,DRINK
499,5.67,5.54,49,553,567,DRIVER
500,5.36,4.42,14,553,567,DRIVEWAY
501,3.69,6.2,24,555,564,DRUG
502,5.8,5.62,11,602,599,DRUM
503,5.48,4.43,4,371,251,DRYER
504,6.11,4.36,9,606,632,DUCK
505,3.05,5.44,4,502,528,DUMP
506,5.43,4.05,1,502,528,DUNE
507,3.03,6.93,2,562,579,DUNGEON
508,3.55,4.72,70,550,549,DUST
509,4.45,4.51,6,550,549,DUSTPAN
510,4.82,4.83,3,322,346,DWARF
511,3.9,7.22,5,0,387,DYNAMITE
512,6.45,5.39,5,616,601,EAGLE
513,5.43,4.6,29,640,597,EAR
514,5.88,5.04,1,349,437,EARRING
515,6.95,4.82,150,580,580,EARTH
516,5.32,5.09,77,439,373,EDITOR
517,5.23,4.91,42,439,373,EDITORIAL
518,5.95,4.36,12,613,599,EGG
519,5.62,5.84,14,0,251,EGYPT
520,5.13,4.6,10,607,602,ELBOW
521,5.45,5.37,2,343,435,ELECTRICIAN
522,5.49,5.24,30,426,486,ELECTRON
523,6.21,5.29,7,628,616,ELEPHANT
524,5.38,5.12,12,628,616,ELEVATOR
525,5.9,5.02,1,437,543,ELF
526,5.82,4.62,1,305,375,ELK
527,5.89,3.77,3,579,550,ELM
528,6.84,5.3,3,613,602,EMERALD
529,4.76,5.98,19,527,502,EMPEROR
530,5.04,6.08,22,429,470,EMPIRE
531,5.34,5.02,24,429,470,EMPLOYEE
532,5.13,5.73,15,429,470,EMPLOYER
533,5.85,4.69,1,316,370,ENCYCLOPEDIA
534,2.48,7.28,88,434,497,ENEMY
535,5.49,5.67,50,586,595,ENGINE
